162.159.44.153:443#日本成田|52ms|81MB/s
162.159.39.87:443#日本成田|53ms|67MB/s
108.162.198.155:443#日本成田|54ms|61MB/s
172.64.53.199:443#日本成田|53ms|55MB/s
162.159.45.70:443#日本成田|48ms|14MB/s
172.64.52.182:443#日本成田|47ms|7MB/s
104.18.32.227:443#新加坡|64ms|1MB/s
162.159.25.27:443#新加坡|63ms|0MB/s
104.18.40.232:443#新加坡|63ms|0MB/s
162.159.33.54:443#新加坡|64ms|0MB/s
162.159.38.205:443#N/A|64ms|0MB/s
162.159.41.24:443#N/A|65ms|0MB/s
162.159.32.127:443#N/A|65ms|0MB/s
162.159.50.178:443#N/A|65ms|0MB/s
104.18.35.238:443#N/A|65ms|0MB/s
162.159.27.30:443#N/A|66ms|0MB/s
172.64.42.56:443#N/A|66ms|0MB/s
172.64.156.173:443#N/A|66ms|0MB/s
172.64.147.74:443#N/A|66ms|0MB/s
172.64.35.246:443#N/A|66ms|0MB/s
172.64.158.199:443#N/A|66ms|0MB/s
172.64.151.143:443#N/A|66ms|0MB/s
162.159.35.48:443#N/A|67ms|0MB/s
162.159.36.18:443#N/A|67ms|0MB/s
172.64.149.59:443#N/A|67ms|0MB/s
162.159.62.81:443#N/A|67ms|0MB/s
172.64.150.20:443#N/A|67ms|0MB/s
172.64.36.228:443#N/A|67ms|0MB/s
172.64.32.81:443#N/A|67ms|0MB/s
104.18.47.229:443#N/A|67ms|0MB/s
108.162.196.130:443#N/A|67ms|0MB/s
162.159.56.170:443#N/A|67ms|0MB/s
172.64.46.192:443#N/A|67ms|0MB/s
162.159.49.248:443#N/A|68ms|0MB/s
104.18.43.0:443#N/A|68ms|0MB/s
172.64.155.25:443#N/A|68ms|0MB/s
104.18.34.208:443#N/A|68ms|0MB/s
162.159.43.135:443#N/A|68ms|0MB/s
108.162.194.69:443#N/A|68ms|0MB/s
104.18.46.78:443#N/A|68ms|0MB/s
104.18.45.186:443#N/A|68ms|0MB/s
172.64.40.41:443#N/A|68ms|0MB/s
172.64.37.133:443#N/A|68ms|0MB/s
172.64.154.203:443#N/A|68ms|0MB/s
104.18.33.205:443#N/A|68ms|0MB/s
162.159.61.218:443#N/A|69ms|0MB/s
172.64.38.222:443#N/A|69ms|0MB/s
162.159.40.152:443#N/A|69ms|0MB/s
162.159.48.93:443#N/A|69ms|0MB/s
162.159.51.220:443#N/A|69ms|0MB/s
172.64.148.65:443#N/A|69ms|0MB/s
104.18.36.203:443#N/A|69ms|0MB/s
172.64.145.161:443#N/A|69ms|0MB/s
172.64.47.50:443#N/A|69ms|0MB/s
172.64.144.58:443#N/A|69ms|0MB/s
104.18.38.170:443#N/A|69ms|0MB/s
104.18.41.214:443#N/A|69ms|0MB/s
172.64.49.8:443#N/A|69ms|0MB/s
162.159.6.93:443#N/A|69ms|0MB/s
108.162.192.105:443#N/A|70ms|0MB/s
162.159.42.131:443#N/A|70ms|0MB/s
162.159.26.53:443#N/A|70ms|0MB/s
162.159.22.237:443#N/A|70ms|0MB/s
172.64.153.171:443#N/A|70ms|0MB/s
162.159.34.83:443#N/A|70ms|0MB/s
162.159.46.107:443#N/A|70ms|0MB/s
172.64.50.247:443#N/A|70ms|0MB/s
172.64.34.213:443#N/A|70ms|0MB/s
162.159.24.27:443#N/A|71ms|0MB/s
162.159.60.104:443#N/A|71ms|0MB/s
162.159.13.45:443#N/A|71ms|0MB/s
172.64.48.203:443#N/A|71ms|0MB/s
162.159.5.254:443#N/A|72ms|0MB/s
162.159.18.211:443#N/A|72ms|0MB/s
162.159.17.79:443#N/A|72ms|0MB/s
162.159.11.185:443#N/A|72ms|0MB/s
162.159.0.132:443#N/A|72ms|0MB/s
162.159.3.185:443#N/A|72ms|0MB/s
162.159.2.240:443#N/A|72ms|0MB/s
172.64.159.84:443#N/A|72ms|0MB/s
162.159.58.120:443#N/A|72ms|0MB/s
198.41.211.182:443#N/A|72ms|0MB/s
198.41.222.55:443#N/A|73ms|0MB/s
108.162.193.207:443#N/A|73ms|0MB/s
162.159.21.22:443#N/A|73ms|0MB/s
162.159.4.30:443#N/A|73ms|0MB/s
162.159.7.12:443#N/A|73ms|0MB/s
104.18.44.237:443#N/A|73ms|0MB/s
162.159.8.123:443#N/A|73ms|0MB/s
162.159.12.150:443#N/A|73ms|0MB/s
172.64.152.125:443#N/A|73ms|0MB/s
104.18.42.77:443#N/A|73ms|0MB/s
104.18.39.8:443#N/A|73ms|0MB/s
198.41.223.16:443#N/A|73ms|0MB/s
162.159.19.3:443#N/A|73ms|0MB/s
162.159.10.20:443#N/A|74ms|0MB/s
104.18.37.221:443#N/A|74ms|0MB/s
162.159.15.84:443#N/A|74ms|0MB/s
162.159.20.143:443#N/A|74ms|0MB/s
162.159.57.200:443#N/A|74ms|0MB/s
172.64.41.251:443#N/A|74ms|0MB/s
162.159.16.215:443#N/A|74ms|0MB/s
162.159.14.110:443#N/A|74ms|0MB/s
162.159.9.134:443#N/A|74ms|0MB/s
172.64.157.185:443#N/A|75ms|0MB/s
172.64.146.67:443#N/A|76ms|0MB/s
173.245.59.117:443#N/A|77ms|0MB/s
173.245.58.139:443#N/A|81ms|0MB/s
162.159.1.105:443#N/A|81ms|0MB/s
