IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.44.220,1,1,0.00,63.45,76.50,NRT
162.159.45.203,1,1,0.00,42.88,32.16,NRT
172.64.53.178,1,1,0.00,62.91,30.21,NRT
162.159.247.146,1,1,0.00,151.21,4.87,LAX
104.17.186.15,1,1,0.00,151.28,3.72,LAX
104.16.46.67,1,1,0.00,160.56,1.81,LAX
108.162.198.48,1,1,0.00,65.13,0.64,NRT
104.17.1.52,1,1,0.00,158.55,0.56,LAX
104.19.250.93,1,1,0.00,159.24,0.51,LAX
172.64.52.39,1,1,0.00,44.69,0.45,NRT
104.16.142.246,1,1,0.00,151.21,0.31,LAX
162.159.38.27,1,1,0.00,65.14,0.28,NRT
104.16.145.147,1,1,0.00,150.26,0.19,LAX
162.159.39.239,1,1,0.00,45.25,0.17,NRT
104.17.18.86,1,1,0.00,150.98,0.16,LAX
172.64.34.87,1,1,0.00,88.40,0.14,SIN
162.159.46.35,1,1,0.00,212.15,0.13,SIN
104.18.32.182,1,1,0.00,72.78,0.12,SIN
108.162.196.20,1,1,0.00,219.19,0.09,SIN
104.18.46.204,1,1,0.00,80.01,0.08,SIN
173.245.58.117,1,1,0.00,80.79,0.07,SIN
172.64.35.205,1,1,0.00,231.12,0.06,SIN
162.159.5.221,1,1,0.00,231.10,0.05,SIN
162.159.35.95,1,1,0.00,118.63,0.03,SIN
162.159.14.46,1,1,0.00,228.28,0.03,SIN
